 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
49,1,0,1,0,0,5.41,0,0,5.41
50,1,0,1,0,0,20.97,0,0,20.97
51,0,0,1,0,0,0.00,0,0,0.00
52,1,0,1,0,0,21.73,0,0,21.73
53,0,0,1,0,0,0.00,0,0,0.00
54,0,0,1,0,0,0.00,0,0,0.00
55,0,0,1,0,0,0.00,0,0,0.00
56,1,0,1,0,0,31.56,0,0,31.56
57,1,0,1,0,0,16.14,0,0,16.14
58,1,0,1,0,0,1.41,0,0,1.41
59,0,0,1,0,0,0.00,0,0,0.00
60,1,0,1,0,0,22.14,0,0,22.14
61,1,0,1,0,0,4.41,0,0,4.41
62,3,1,0,1,0,17.09,0,0,32.14
63,1,0,1,0,0,11.24,0,0,11.24
64,1,0,1,0,0,4.41,0,0,4.41
65,0,0,1,0,0,0.00,0,0,0.00
66,5,2,0,2,52,36.10,0,0,64.60
67,1,0,1,0,0,4.00,0,0,4.00
68,1,0,1,0,0,17.90,0,0,17.90
69,1,0,1,0,0,1.00,0,0,1.00
70,1,0,1,0,0,15.24,0,0,15.24
71,1,0,1,0,0,8.41,0,0,8.41
72,1,0,1,0,0,3.00,0,0,3.00
73,1,0,1,0,0,1.00,0,0,1.00
74,0,0,1,0,0,0.00,0,0,0.00
75,1,0,1,0,0,1.00,0,0,1.00
76,1,0,1,0,0,3.00,0,0,3.00
77,1,0,1,0,0,35.63,0,0,35.63
78,1,0,1,0,0,10.07,0,0,10.07
79,1,0,1,0,0,16.73,0,0,16.73
80,1,0,1,0,0,39.46,0,0,39.46
81,1,0,1,0,0,11.49,0,0,11.49
82,0,0,1,0,0,0.00,0,0,0.00
83,1,0,1,0,0,1.41,0,0,1.41
84,1,0,1,0,0,20.97,0,0,20.97
85,0,0,1,0,0,0.00,0,0,0.00
86,1,0,1,0,0,5.83,0,0,5.83
87,45,24,0,52,444,19.65,9,0,67.84
88,1,0,1,0,0,1.00,0,0,1.00
89,5,2,0,2,10,10.71,0,0,14.90
90,1,0,1,0,0,3.00,0,0,3.00
91,1,0,1,0,0,3.00,0,0,3.00
92,1,0,1,0,0,11.24,0,0,11.24
93,1,0,1,0,0,1.00,0,0,1.00
94,21,12,0,22,292,23.71,7,0,46.73
95,3,1,0,3,0,7.77,0,0,8.83
96,1,0,1,0,0,5.41,0,0,5.41
97,0,0,1,0,0,0.00,0,0,0.00
98,0,0,1,0,0,0.00,0,0,0.00
99,1,0,1,0,0,1.41,0,0,1.41
100,1,0,1,0,0,4.24,0,0,4.24
101,1,0,1,0,0,13.31,0,0,13.31
102,1,0,1,0,0,7.41,0,0,7.41
103,10,5,0,9,64,18.68,1,0,53.11
104,0,0,1,0,0,0.00,0,0,0.00
